Idade,Genero,Cor/raca/etnia,PCD,Oportunidade de Progressão de Carreira,UF,Regiao onde mora,Nivel de Ensino,Area de Formação,Situação atual de Trabalho,Setor,Cargo,Nivel,Forma de Trabalho,Atuação
28,Feminino,Parda,Não,1.0,MG,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,"Desempregado, buscando recolocação",,,,,Buscando oportunidade na área de dados
42,Feminino,Branca,Não,0.0,SP,Sudeste,Doutorado ou Phd,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Empregado (CLT),Tecnologia/Fábrica de Software,Cientista de Dados/Data Scientist,Pleno,Modelo 100% remoto,Ciência de Dados
45,Masculino,Branca,Não,,SC,Sul,Pós-graduação,Outras Engenharias,Servidor Público,Setor Público,Outra Opção,Sênior,Modelo híbrido com dias fixos de trabalho presencial,Outra atuação
30,Masculino,Branca,Não,,SP,Sudeste,Mestrado,Outras Engenharias,Empreendedor ou Empregado (CNPJ),Setor Imobiliário/ Construção Civil,,,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Gestor
28,Masculino,Branca,Não,,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Educação,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Engenharia de Dados
25,Masculino,Parda,Não,,MG,Sudeste,Pós-graduação,Outras Engenharias,Empregado (CLT),Área da Saúde,Outra Opção,Pleno,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Análise de Dados
26,Masculino,Branca,Não,,SC,Sul,Graduação/Bacharelado,Outra opção,Empregado (CLT),Setor Alimentício,Cientista de Dados/Data Scientist,Pleno,Modelo 100% remoto,Ciência de Dados
29,Feminino,Branca,Não,1.0,PR,Sul,Mestrado,Outras Engenharias,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,,,Modelo 100% remoto,Gestor
24,Feminino,Parda,Não,1.0,SP,Sudeste,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Finanças ou Bancos,Analytics Engineer,Pleno,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Análise de Dados
32,Masculino,Preta,Sim,,SP,Sudeste,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Finanças ou Bancos,Analista de Negócios/Business Analyst,Sênior,Modelo híbrido com dias fixos de trabalho presencial,Ciência de Dados
