Idade,Genero,Cor/raca/etnia,PCD,Oportunidade de Progressão de Carreira,UF,Regiao onde mora,Nivel de Ensino,Area de Formação,Situação atual de Trabalho,Setor,Cargo,Nivel,Forma de Trabalho,Atuação
32,0,3,0,0,6,4,2,0,0,19,6,2,2,2
38,1,0,0,0,20,3,2,0,0,3,12,1,2,3
37,0,3,0,1,24,2,2,1,0,15,11,1,1,3
31,1,0,0,0,18,2,2,1,1,2,6,0,2,2
27,0,1,0,1,24,2,3,8,0,6,10,1,0,0
34,1,0,0,1,18,2,2,1,0,19,4,2,2,1
27,0,1,0,0,4,1,2,7,0,5,6,2,2,2
27,1,0,0,0,24,2,2,1,0,2,0,1,0,1
30,1,0,0,1,15,3,2,3,0,3,5,0,2,3
30,1,1,0,1,23,3,3,5,0,3,0,0,2,1
26,1,2,1,0,24,2,2,0,0,19,1,0,0,1
26,1,3,0,0,21,0,4,1,6,19,10,1,1,0
32,1,0,0,0,18,2,2,0,0,5,6,1,2,2
34,0,3,0,1,4,1,2,1,0,16,11,1,1,3
42,1,0,0,1,24,2,3,0,0,5,14,2,2,2
26,1,0,0,1,23,3,2,3,0,3,4,1,0,2
26,1,0,0,0,24,2,2,7,0,19,4,2,0,1
34,1,0,0,1,12,2,3,1,0,3,0,2,0,1
39,1,2,0,0,24,2,4,6,0,19,0,2,2,1
29,1,0,0,1,24,2,4,3,0,19,1,2,2,1
25,1,2,0,1,24,2,1,0,0,10,6,0,0,2
34,0,3,0,1,6,4,2,2,6,19,10,0,2,0
25,0,1,0,0,24,2,1,8,2,6,0,0,2,1
27,0,3,0,0,14,1,3,7,0,8,10,0,2,0
31,0,1,0,0,24,2,2,7,0,10,10,1,2,1
23,1,0,0,0,24,2,2,0,0,3,0,0,0,1
29,0,3,0,1,18,2,4,7,0,3,6,2,0,2
24,1,0,0,0,12,2,3,3,0,3,1,0,2,1
31,1,0,0,1,24,2,2,7,0,4,3,0,1,3
55,0,1,0,0,24,2,1,0,0,11,3,0,1,3
27,0,1,0,0,15,3,3,0,0,2,6,2,2,2
34,1,0,0,1,23,3,4,0,6,2,5,2,2,1
30,1,0,0,0,20,3,3,7,0,19,0,0,2,1
34,0,3,0,0,24,2,3,0,0,19,7,2,2,2
